accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,notes,iNat_needsID_only_notes
Oxalis perennans,Oxalis perennans,accepted,Oxalidaceae,3.dicot,native,,1,1,,1,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1991,1991,,,,yes_unsure
Oxalis purpurea,Oxalis purpurea,accepted,Oxalidaceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1975,1975,,,,none
Oxalis thompsoniae,Oxalis thompsoniae,accepted,Oxalidaceae,3.dicot,native,,1,1,,1,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1991,1992,,,,none
Quintinia sieberi,Quintinia sieberi,accepted,Paracryphiaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Passiflora cinnabarina,Passiflora cinnabarina,accepted,Passifloraceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Passiflora edulis,Passiflora edulis,accepted,Passifloraceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1890,1890,,,,none
Passiflora herbertiana,Passiflora herbertiana,accepted,Passifloraceae,3.dicot,native,4,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,1960,2020,2023,,
Passiflora kuranda,Passiflora kuranda,accepted,Passifloraceae,3.dicot,out-of-range,,,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,"Passiflora kuranda is restricted to a small area in Far North Queensland, so this is clearly misidentified. Looking at the sheet, leaf morphology suggests probably a young P. herbertiana to me, but I'm not confident enough to assign this voucher to that species, so I'm just removing it. Note that the phrase name Passiflora sp. (Kuranda BH 12896) (which was the original supplied name on this record, has since been described as P. kuranda) maps to 'Passiflora spec' in AVH, ALA, etc",
Passiflora kuranda,Passiflora sp. (Kuranda BH 12896),synonym,Passifloraceae,3.dicot,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Passiflora subpeltata,Passiflora subpeltata,accepted,Passifloraceae,3.dicot,introduced,2,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1899,1966,2024,2024,,
Pennantia cunninghamii,Pennantia cunninghamii,accepted,Pennantiaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1899,1899,,,,none
Breynia oblongifolia,Breynia oblongifolia,accepted,Phyllanthaceae,3.dicot,native,9,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1890,2012,2020,2024,,
Glochidion ferdinandi,Glochidion ferdinandi,accepted,Phyllanthaceae,3.dicot,native,2,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1949,1982,2020,2023,,
Phyllanthus gunnii,Phyllanthus gunnii,accepted,Phyllanthaceae,3.dicot,native,1,1,1,1,1,1,1,1,1,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,1898,2008,2024,2024,"1898 voucher geolocated outside Royal, but inside park based on notes",
Phyllanthus hirtellus,Phyllanthus hirtellus,accepted,Phyllanthaceae,3.dicot,native,9,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1933,1933,2020,2023,,
Phyllanthus similis,Phyllanthus similis,accepted,Phyllanthaceae,3.dicot,native,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,"looking at the sheet, the original name on the specimen is Phyllanthus gasstroemii, which now = Phyllanthus gunnii, not similis",
Poranthera corymbosa,Poranthera corymbosa,accepted,Phyllanthaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1927,1927,2020,2020,,
Poranthera ericifolia,Poranthera ericifolia,accepted,Phyllanthaceae,3.dicot,native,12,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1933,1971,2020,2024,,
Poranthera microphylla,Poranthera microphylla,accepted,Phyllanthaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1966,1966,,,,none
Phytolacca octandra,Phytolacca octandra,accepted,Phytolaccaceae,3.dicot,introduced,7,1,1,1,1,1,1,,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,2016,2016,2019,2024,,
Micrantheum ericoides,Micrantheum ericoides,accepted,Picrodendraceae,3.dicot,native,12,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2012,2014,2023,,
Peperomia leptostachya ,Peperomia leptostachya ,accepted,Piperaceae,3.dicot,native,,,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1984,1984,,,,none
Peperomia leptostachya ,Peperomia blanda,synonym,Piperaceae,3.dicot,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,"The park listing was P. blanda var. floribunda, which on iNat = P. leptostachya",
Peperomia tetraphylla,Peperomia tetraphylla,accepted,Piperaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Piper hederaceum,Piper hederaceum,accepted,Piperaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1958,1978,,,,none
Billardiera mutabilis,Billardiera mutabilis,accepted,Pittosporaceae,3.dicot,native,5,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2024,there probably are some old vouchers based on comment at https://www.inaturalist.org/observations/47072806,
Billardiera scandens,Billardiera scandens,accepted,Pittosporaceae,3.dicot,native,13,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1968,2012,2014,2023,,
Bursaria spinosa,Bursaria spinosa,accepted,Pittosporaceae,3.dicot,native,6,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2022,,
Pittosporum multiflorum,Pittosporum multiflorum,accepted,Pittosporaceae,3.dicot,native,8,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1952,2019,2020,2023,,
Pittosporum revolutum,Pittosporum revolutum,accepted,Pittosporaceae,3.dicot,native,8,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1897,2012,2020,2024,,
Pittosporum undulatum,Pittosporum undulatum,accepted,Pittosporaceae,3.dicot,native,2,1,1,1,1,1,1,,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1997,1997,2020,2022,,
Rhytidosporum procumbens,Rhytidosporum procumbens,accepted,Pittosporaceae,3.dicot,native,12,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1889,1921,2020,2023,,
Bacopa monnieri,Bacopa monnieri,accepted,Plantaginaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1916,1975,,,"the 1916 voucher might not actually be in the park, but locality too vague to make a confident call. 1975 voucher is definitely legitimate anyway",none
Callitriche muelleri,Callitriche muelleri,accepted,Plantaginaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Callitriche stagnalis,Callitriche stagnalis,accepted,Plantaginaceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1975,1975,,,,none
Gratiola pedunculata,Gratiola pedunculata,accepted,Plantaginaceae,3.dicot,native,1,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2023,2023,,
Gratiola pubescens,Gratiola pubescens,accepted,Plantaginaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1965,1965,,,,none
Plantago coronopus,Plantago coronopus,accepted,Plantaginaceae,3.dicot,introduced,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1982,1982,,,,none
Plantago debilis,Plantago debilis,accepted,Plantaginaceae,3.dicot,native,,1,1,,1,1,,1,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1969,2007,,,"2007 voucher geolocated outside Royal, but notes indicate inside park",none
Plantago hispida,Plantago hispida,accepted,Plantaginaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1916,1971,,,,none
Plantago lanceolata,Plantago lanceolata,accepted,Plantaginaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Plantago major,Plantago major,accepted,Plantaginaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Plantago varia,Plantago varia,accepted,Plantaginaceae,3.dicot,native,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1970,1971,,,,none
Veronica anagallis-aquatica,Veronica anagallis-aquatica,accepted,Plantaginaceae,3.dicot,introduced,1,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2023,2023,,
Veronica calycina,Veronica calycina,accepted,Plantaginaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Veronica notabilis,Veronica notabilis,accepted,Plantaginaceae,3.dicot,out-of-range,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-no voucher, not in protected area",,,,,"Have removed this from the park list as I cannot find any evidence that it exists in Royal. No vouchers, no iNat records, no digitised records of any kind in the ALA (observational/survey records), and was only noted in one of the 3 sub-lists for the park list",
Veronica plebeia,Veronica plebeia,accepted,Plantaginaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1961,1961,,,,none
Comesperma defoliatum,Comesperma defoliatum,accepted,Polygalaceae,3.dicot,native,,1,1,,1,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1994,1994,,,,yes_unsure
Comesperma ericinum,Comesperma ericinum,accepted,Polygalaceae,3.dicot,native,35,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1926,2012,2008,2023,,
Comesperma retusum,Comesperma retusum,accepted,Polygalaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Comesperma sphaerocarpum,Comesperma sphaerocarpum,accepted,Polygalaceae,3.dicot,native,1,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2020,"iNat record shows fruit, the most useful/easy character for separating from defoliatum",
Comesperma volubile,Comesperma volubile,accepted,Polygalaceae,3.dicot,native,19,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1960,1960,2020,2023,,
Polygala myrtifolia,Polygala myrtifolia,accepted,Polygalaceae,3.dicot,introduced,4,1,1,1,1,1,1,,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,2020,2020,2021,2022,,
Polygala virgata,Polygala virgata,accepted,Polygalaceae,3.dicot,introduced,4,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1976,1976,2021,2022,,
Muehlenbeckia gracillima,Muehlenbeckia gracillima,accepted,Polygonaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1889,1898,,,,none
Persicaria capitata,Persicaria capitata,accepted,Polygonaceae,3.dicot,introduced,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1973,1973,2024,2024,,
Persicaria decipiens,Persicaria decipiens,accepted,Polygonaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1894,1958,,,,none
Persicaria hydropiper,Persicaria hydropiper,accepted,Polygonaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,retain exact name,retain exact name,1975,1975,,,,yes_correct
Persicaria praetermissa,Persicaria praetermissa,accepted,Polygonaceae,3.dicot,native,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,"This 1915 voucher has the identification Polygonum strigosum (= Persicaria strigosa) written on the sheet itself. There is then also a 1966 det slip with the same identification. However, a 1994 det slip is also on the voucher, which is where it gets re-detted to P. praetermissa. Unfortunately it does not say who made this det. However, I am going to disagree with this most recent det, and I believe that the original ID of strigosa is actually correct. Using the actual specimen which is digitised thankfully, and using the NSW Flora key, it keys to strigosa. ",
Persicaria prostrata ,Persicaria prostrata ,accepted,Polygonaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1895,1895,,,,none
Persicaria strigosa,Persicaria strigosa,accepted,Polygonaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1897,1975,,,,none
Rumex brownii,Rumex brownii,accepted,Polygonaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Rumex crispus,Rumex crispus,accepted,Polygonaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Rumex sagittatus,Rumex sagittatus,accepted,Polygonaceae,3.dicot,introduced,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1966,1966,2023,2023,,
Rumex tenax,Rumex tenax,accepted,Polygonaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1895,1895,,,,none
Aegiceras corniculatum,Aegiceras corniculatum,accepted,Primulaceae,3.dicot,native,13,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1933,1946,1988,2023,,
Lysimachia arvensis,Lysimachia arvensis,accepted,Primulaceae,3.dicot,introduced,5,,,1,1,,1,,,,1,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2019,2024,,
Lysimachia arvensis,Anagallis arvensis,synonym,Primulaceae,3.dicot,introduced,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Myrsine howittiana,Myrsine howittiana,accepted,Primulaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,1958,1984,2024,2024,,
Myrsine variabilis,Myrsine variabilis,accepted,Primulaceae,3.dicot,native,2,1,1,1,1,1,1,1,,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,1922,1983,2023,2023,,
Samolus repens,Samolus repens,accepted,Primulaceae,3.dicot,native,5,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1947,1952,2018,2024,,
Banksia collina,Banksia collina,accepted,Proteaceae,3.dicot,native,,,,1,,,,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,"I'm not comfortable confirming this iNat record as correct, so have erred on the side of caution and annotated as misidentified. The single photo doesn't show the leaves clearly, which are one of the most important characters for this complex, but from what I can make out they seem too narrow, and not toothed enough",yes_unsure
Banksia ericifolia,Banksia ericifolia,accepted,Proteaceae,3.dicot,native,120,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1899,2016,1980,2024,"1899 voucher placed just outside the park, but in Royal based on notes",
Banksia integrifolia,Banksia integrifolia,accepted,Proteaceae,3.dicot,native,11,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1987,2015,1981,2024,,
Banksia marginata,Banksia marginata,accepted,Proteaceae,3.dicot,native,72,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1927,2012,2012,2023,,
Banksia oblongifolia,Banksia oblongifolia,accepted,Proteaceae,3.dicot,native,29,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1933,2000,2008,2024,,
Banksia paludosa,Banksia paludosa,accepted,Proteaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1977,1977,,,,none
Banksia robur,Banksia robur,accepted,Proteaceae,3.dicot,native,4,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1900,1962,2020,2023,,
Banksia serrata,Banksia serrata,accepted,Proteaceae,3.dicot,native,85,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1955,2015,2005,2024,,
Banksia spinulosa,Banksia spinulosa,accepted,Proteaceae,3.dicot,native,23,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1898,2012,2020,2024,,
Conospermum ellipticum,Conospermum ellipticum,accepted,Proteaceae,3.dicot,native,45,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,2012,1989,2022,,
Conospermum longifolium,Conospermum longifolium,accepted,Proteaceae,3.dicot,native,20,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,2012,2014,2023,,
Conospermum taxifolium,Conospermum taxifolium,accepted,Proteaceae,3.dicot,native,,1,1,,1,1,,1,1,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,retain exact name,retain exact name,1896,1992,,,,yes_correct
Conospermum tenuifolium,Conospermum tenuifolium,accepted,Proteaceae,3.dicot,native,9,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1894,1981,2021,2022,,
Grevillea acanthifolia,Grevillea acanthifolia,accepted,Proteaceae,3.dicot,out-of-range,,,,1,,,,,,,,geographic error,"remove, coordinates erroneously inside protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,user mistakenly entered wrong coordinates for a historical upload (clarified after I asked them),
Grevillea banksii,Grevillea banksii,accepted,Proteaceae,3.dicot,introduced,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1975,1975,,,"I was torn over this species, but decided to err on the side of keeping it. Native of Queensland, but prolific in horticulture, and is known  to occasionally escape and naturalise. So it's possible this is such a case",none
Grevillea baueri,Grevillea baueri,accepted,Proteaceae,3.dicot,out-of-range,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,"too far out of range for me to accept this at face value as correctly identified (without seeing the sheet), all floras indicate range does not include Sydney",
Grevillea buxifolia,Grevillea buxifolia,accepted,Proteaceae,3.dicot,native,97,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2017,2011,2022,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",
Grevillea capitellata,Grevillea capitellata,accepted,Proteaceae,3.dicot,native,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1947,1975,,,"another one where it was difficult to gauge whether this species should be retained in the list, especially without being able to see the vouchers themselves. I have retained it given Royal is definitely within the realm of reasonableness re range, but it does seem a little too far north, especially compared to range descriptions. I have discarded three of the six specimens as the original supplied name was actually Grevillea diffusa subsp. diffusa, which whilst APC synonymises as G. capitellata, other sources (including iNat) still retain as a separate legitimate taxon. Very possible that the other three are also G. diffusa subsp. diffusa, but impossible for me to tell from the current information on hand.",yes_unsure
Grevillea diffusa,Grevillea diffusa,accepted,Proteaceae,3.dicot,native,29,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1886,2012,2009,2023,,
Grevillea linearifolia,Grevillea linearifolia,accepted,Proteaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1964,1964,,,"I discarded both 1900 vouchers, as the det comment by Bob Makinson stated ""Longer pistils than true G. linearifolia, which is not confirmed as occurring S of Port Jackson. This could be a hybrid of G. oleoides x G. diffusa subsp. constablei"". The third voucher may not be correct either, with a note on the sheet saying ""Grevillea linearifolia form?"", indicating uncertainty, but have retained for now",none
Grevillea longifolia,Grevillea longifolia,accepted,Proteaceae,3.dicot,native,3,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1898,1975,2020,2022,,
Grevillea mucronulata,Grevillea mucronulata,accepted,Proteaceae,3.dicot,native,35,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1898,2017,2020,2024,,
Grevillea oleoides,Grevillea oleoides,accepted,Proteaceae,3.dicot,native,104,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,2012,1988,2024,,
Grevillea parviflora,Grevillea parviflora,accepted,Proteaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1888,1977,,,,none
Grevillea patulifolia,Grevillea patulifolia,accepted,Proteaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1888,1888,,,,none
Grevillea phylicoides,Grevillea phylicoides,accepted,Proteaceae,3.dicot,native,,,,1,,,,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,
Grevillea sericea,Grevillea sericea,accepted,Proteaceae,3.dicot,native,93,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1893,2015,1988,2024,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",
Grevillea speciosa,Grevillea speciosa,accepted,Proteaceae,3.dicot,native,10,,1,1,,1,1,1,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1896,1987,2018,2022,,
Grevillea sphacelata,Grevillea sphacelata,accepted,Proteaceae,3.dicot,native,122,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1892,2012,1988,2024,,
Hakea dactyloides,Hakea dactyloides,accepted,Proteaceae,3.dicot,native,17,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2004,2019,2024,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",
